Characters,Meaning,Pronunciation
命运,fate; destiny,mìngyùn
上述,aforementioned; above-mentioned,shàngshù
采访,to interview; to gather news; to hunt for and collect; to cover,cǎifǎng
实力,strength,shílì
角度,angle; point of view,jiǎodù
多次,many times; repeatedly,duōcì
股份,a share (in a company); stock,gǔfèn
做到,to accomplish; to achieve,zuòdào
体验,to experience for oneself,tǐyàn
交换,to exchange; to swap; to switch (telecom); commutative (math); to commute,jiāohuàn
大多数,(great) majority,dàduōshù
计算机,computer; (Tw) calculator,jìsuànjī
议会,parliament; legislative assembly,yìhuì
授权,to authorize,shòuquán
至于,as for; as to; to go so far as to,zhìyú
播放,to broadcast; to transmit,bōfàng
恐怖,terrible; frightful; frightening; terror; terrorist,kǒngbù
财富,wealth; riches,cáifù
爆炸,explosion; to explode; to blow up; to detonate,bàozhà
武装,arms; equipment; to arm; military; armed (forces),wǔzhuāng
经典,"the classics; scriptures; classical; classic (example, case etc); typical",jīngdiǎn
适当,suitable; appropriate,shìdàng
有趣,interesting; fascinating; amusing,yǒuqù
适应,to adapt; to fit; to suit,shìyìng
组合,to assemble; to combine; to compose; combination; association; set; compilation; (math.) combinatorial,zǔhé
等待,to wait; to wait for,děngdài
基于,because of; on the basis of; in view of; on account of,jīyú
参考,consultation; reference; to consult; to refer,cānkǎo
绿色,green,lǜsè
丈夫,husband,zhàngfu
思考,to reflect on; to ponder over,sīkǎo
咱们,we or us (including both the speaker and the person(s) spoken to); (dialect) I or me; (dialect) (in a coaxing or familiar way) you; also pr. [za2 men5],zánmen
动力,motive power; force; (fig.) motivation; impetus,dònglì
居住,to reside; to dwell; to live in a place; resident in,jūzhù
对待,to treat; treatment,duìdài
即将,on the eve of; to be about to; to be on the verge of,jíjiāng
指挥,to conduct; to command; to direct; conductor (of an orchestra),zhǐhuī
一群,N/A,N/A
南部,southern part,nánbù
尝试,to try; to attempt,chángshì
既然,since; as; this being the case,jìrán
周年,anniversary; annual,zhōunián
泰国,Thailand; Thai,tàiguó
事实上,in fact; in reality; actually; as a matter of fact; de facto; ipso facto,shìshíshàng
背后,behind; at the back; in the rear; behind sb's back,bèihòu
完善,"(of systems, facilities etc) comprehensive; well-developed; excellent; to refine; to improve",wánshàn
俱乐部,club (the organisation or its premises) (loanword),jùlèbù
出生,to be born,chūshēng
高中,senior high school; abbr. for 高級中學|高级中学[gao1 ji2 zhong1 xue2],gāozhōng
自杀,to kill oneself; to commit suicide; to attempt suicide,zìshā
答案,answer; solution,dáàn
详细,detailed; in detail; minute,xiángxì
上市,to hit the market (of a new product); to float (a company on the stock market),shàngshì
建造,to construct; to build,jiànzào
究竟,to go to the bottom of a matter; after all; when all is said and done; (in an interrogative sentence) finally; outcome; result,jiūjìng
讲话,a speech; to speak; to talk; to address,jiǎnghuà
司法,judicial; (administration of) justice,sīfǎ
定义,definition; to define,dìngyì
公路,highway; road,gōnglù
疾病,disease; sickness; ailment,jíbìng
互相,each other; mutually; mutual,hùxiāng
承诺,to promise; to undertake to do something; commitment,chéngnuò
会员,member,huìyuán
人民币,Renminbi (RMB); Chinese Yuan (CNY),rénmínbì
西藏,Tibet; Xizang or Tibetan autonomous region 西藏自治區|西藏自治区,xīzàng
污染,pollution; contamination,wūrǎn
当前,current; today's; modern; present; to be facing (us),dāngqián
领袖,leader,lǐngxiù
增强,to increase; to strengthen,zēngqiáng
乡村,rustic; village; countryside,xiāngcūn
决议,a resolution; to pass a resolution,juéyì
信仰,to believe in (a religion); firm belief; conviction,xìnyǎng
不久,not long (after); before too long; soon; soon after,bùjiǔ
可怕,awful; dreadful; fearful; formidable; frightful; scary; hideous; horrible; terrible; terribly,kěpà
地址,address,dìzhǐ
工资,wages; pay,gōngzī
生存,to exist; to survive,shēngcún
尚未,not yet; still not,shàngwèi
期待,to look forward to; to await; expectation,qīdài
东部,the east; eastern part,dōngbù
先后,early or late; priority; in succession; one after another,xiānhòu
掌握,"to grasp (often fig.); to control; to seize (initiative, opportunity, destiny); to master; to know well; to understand sth well and know how to use it; fluency",zhǎngwò
如下,as follows,rúxià
妹妹,younger sister; young woman,mèimei
合理,rational; reasonable; fair,hélǐ
收集,to gather; to collect,shōují
暴力,violence; force; violent,bàolì
成果,result; achievement; gain; profit,chéngguǒ
赢得,to win; to gain,yíngdé
下降,to decline; to drop; to fall; to go down; to decrease,xiàjiàng
突破,to break through; to make a breakthrough; to surmount or break the back of (a task etc); (of ball sports) to break through a defense,tūpò
逻辑,logic (loanword),luóji
植物,plant; vegetation,zhíwù
为主,to rely mainly on; to attach most importance to,wéizhǔ
证券,negotiable security (financial); certificate; stocks and bonds,zhèngquàn
达成,to reach (an agreement); to accomplish,dáchéng
地理,geography,dìlǐ
财政,finances (public); financial,cáizhèng
深入,to penetrate deeply; thorough,shēnrù
条例,regulations; rules; code of conduct; ordinances; statutes,tiáolì
航空,aviation,hángkōng
集体,collective (decision); joint (effort); a group; a team; en masse; as a group,jítǐ
简直,simply; at all; practically,jiǎnzhí
有着,to have; to possess,yǒuzhe
外交,diplomacy; diplomatic; foreign affairs,wàijiāo
总结,to sum up; to conclude; summary; résumé,zǒngjié
成熟,mature; ripe; to mature; to ripen; Taiwan pr. [cheng2 shou2],chéngshú
简称,to be abbreviated to; abbreviation; short form,jiǎnchēng
发射,to shoot (a projectile); to fire (a rocket); to launch; to emit (a particle); to discharge; emanation; emission,fāshè
启动,to start (a machine); (fig.) to set in motion; to launch (an operation); to activate (a plan),qǐdòng
动态,movement; motion; development; trend; dynamic (science),dòngtài
请求,to request; to ask; request,qǐngqiú
顺利,smoothly; without a hitch,shùnlì
将军,"Chiangchun township in Tainan county 台南縣|台南县[Tai2 nan2 xian4], Taiwan",jiāngjūn
走向,direction; strike (i.e. angle of inclination in geology); inclination; trend; to move towards; to head for,zǒuxiàng
政党,political party,zhèngdǎng
电力,electrical power; electricity,diànlì
追求,to pursue (a goal etc) stubbornly; to seek after; to woo,zhuīqiú
婚姻,matrimony; wedding; marriage,hūnyīn
在线,online,zàixiàn
科学家,scientist,kēxuéjiā
办理,to handle; to transact; to conduct,bànlǐ
麻烦,inconvenient; troublesome; annoying; to trouble or bother sb; to put sb to trouble,máfan
伦敦,"London, capital of United Kingdom",lúndūn
厉害,difficult to deal with; difficult to endure; ferocious; radical; serious; terrible; violent; tremendous; awesome,lìhai
暂时,temporary; provisional; for the time being,zànshí
周围,surroundings; environment; to encompass,zhōuwéi
菲律宾,the Philippines,fēilǜbīn
党员,party member,dǎngyuán
多久,how long?,duōjiǔ
违反,to violate (a law),wéifǎn
咨询,to consult; to seek advice; consultation; (sales) inquiry (formal),zīxún
具备,to possess; to have; equipped with; able to fulfill (conditions or requirements),jùbèi
人家,household; dwelling; family; sb else's house; household business; house of woman's husband-to-be,rénjiā
大众,Volkswagen (automobile manufacturer),dàzhòng
意大利,Italy; Italian,yìdàlì
沟通,to join; to connect; to link up; to communicate,gōutōng
释放,to release; to set free; to liberate (a prisoner); to discharge,shìfàng
预计,to forecast; to predict; to estimate,yùjì
转变,to change; to transform; shift; transformation,zhuǎnbiàn
策略,strategy; tactics; crafty; adroit,cèlüè
特定,special; specific; designated; particular,tèdìng
历史上,historical; in history,lìshǐshàng
退出,to withdraw; to abort; to quit; to log out (computing),tuìchū
差异,difference; discrepancy,chāyì
哲学,philosophy,zhéxué
警告,to warn; to admonish,jǐnggào
收费,to charge a fee,shōufèi
装备,equipment; to equip; to outfit,zhuāngbèi
收购,to purchase (from various places); to acquire (a company),shōugòu
日常,daily; everyday,rìcháng
消费者,consumer,xiāofèizhě
适用,to be applicable,shìyòng
幸运,fortunate; lucky; fortune; luck,xìngyùn
奇怪,strange; odd; to marvel; to be baffled,qíguài
大多,for the most part; many; most; the greater part; mostly,dàduō
市民,city resident,shìmín
一致,unanimous; identical (views or opinions),yīzhì
治理,to govern; to administer; to manage; to control; governance,zhìlǐ
理想,an ideal; a dream; ideal; perfect,lǐxiǎng
刺激,to provoke; to irritate; to upset; to stimulate; to excite; irritant,cìjī
传说,legend; folklore; to repeat from mouth to mouth; they say that...,chuánshuō
看起来,seemingly; apparently; looks as if; appear to be; gives the impression that; seems on the face of it to be,kànqǐlai
协调,to coordinate; to harmonize; to fit together; to match (colors etc); harmonious; concerted,xiétiáo
签署,to sign (an agreement),qiānshǔ
解放,to liberate; to emancipate; liberation; refers to the Communists' victory over the Nationalists in 1949,jiěfàng
全体,all; entire,quántǐ
国会,Parliament (UK); Congress (US); Diet (Japan); Legislative Yuan (Taiwan),guóhuì
士兵,soldier,shìbīng
相互,each other; mutual,xiānghù
法庭,court of law,fǎtíng
化学,chemistry; chemical,huàxué
同一,identical; the same,tóngyī
占领,to occupy (a territory); to hold,zhànlǐng
前进,to go forward; to forge ahead; to advance; onward,qiánjìn
明星,star; celebrity,míngxīng
皇帝,emperor,huángdì
当选,to be elected; to be selected,dāngxuǎn
日报,daily newspaper,rìbào
提到,to mention; to raise (a subject); to refer to,tídào
发起,"to originate; to initiate; to launch (an attack, an initiative etc); to start; to propose sth (for the first time)",fāqǐ
摄影,to take a photograph; photography; to shoot (a movie),shèyǐng
到处,everywhere,dàochù
博物馆,museum,bówùguǎn
相应,to correspond; answering (one another); to agree (among the part); corresponding; relevant; appropriate; (modify) accordingly,xiāngyìng
记忆,to remember; to recall; memory,jìyì
试验,experiment; test; to experiment; experimental,shìyàn
保险,insurance; to insure; safe; secure; be sure; be bound to,bǎoxiǎn
作战,combat; to fight,zuòzhàn
年底,the end of the year; year-end,niándǐ
立刻,forthwith; immediate; prompt; promptly; straightway; thereupon; at once,lìkè
结论,conclusion; verdict; to conclude; to reach a verdict,jiélùn
好啊,N/A,N/A
本地,local; this locality,běndì
海军,navy,hǎijūn
安装,to install; to erect; to fix; to mount; installation,ānzhuāng
股东,shareholder; stockholder,gǔdōng
连接,to link; to join; to attach; connection; a link (on web page),liánjiē
总部,general headquarters,zǒngbù
改造,to transform; to reform; to remodel; to remold,gǎizào
牺牲,to sacrifice one's life; to sacrifice (sth valued); beast slaughtered as a sacrifice,xīshēng
希腊,Greece,xīlà
分为,to divide sth into (parts); to subdivide,fēnwéi
街道,street; subdistrict; residential district,jiēdào
职务,post; position; job; duties,zhíwù
伊朗,Iran,yīlǎng
反而,instead; on the contrary; contrary (to expectations),fǎnér
事物,thing; object,shìwù
大规模,large scale; extensive; wide scale; broad scale,dàguīmó
事故,accident,shìgù
一生,all one's life; throughout one's life,yīshēng
浙江,"Zhejiang province (Chekiang) in east China, abbr. 浙, capital Hangzhou 杭州",zhèjiāng
袭击,attack (esp. surprise attack); raid; to attack,xíjī
主持,to take charge of; to manage or direct; to preside over; to uphold; to stand for (justice etc); to host (a TV or radio program etc); (TV) anchor,zhǔchí
环保,environmental protection; environmentally friendly; abbr. for 環境保護|环境保护[huan2 jing4 bao3 hu4],huánbǎo
欧盟,European Union; EU,ōuméng
垃圾,trash; refuse; garbage; (coll.) of poor quality; Taiwan pr. [le4 se4],lājī
对外,external; foreign; pertaining to external or foreign (affairs),duìwài
有所,somewhat; to some extent,yǒusuǒ
档案,file; record; archive,dàngàn
阶级,(social) class,jiējí
学术,learning; science; academic,xuéshù
美好,beautiful; fine,měihǎo
矛盾,contradiction; conflicting views; contradictory,máodùn
仅仅,barely; only; merely; only (this and nothing more),jǐnjǐn
一系列,a series of; a string of,yīxìliè
此次,this time,cǐcì
公主,princess,gōngzhǔ
紧急,urgent; emergency,jǐnjí
固定,to fix; to fasten; to set rigidly in place; fixed; set; regular,gùdìng
种种,all kinds of,zhǒngzhǒng
高速,high speed,gāosù
黑暗,dark; darkly; darkness,hēiàn
谈判,to negotiate; negotiation; talks; conference,tánpàn
卫星,satellite; moon,wèixīng
中国人民,N/A,N/A
回应,to respond; response,huíyìng
飞行,(of planes etc) to fly; flying; flight; aviation,fēixíng
患者,patient; sufferer,huànzhě
供应,to supply; to provide; to offer,gōngyìng
呼吁,to call on (sb to do sth); to appeal (to); an appeal,hūyù
探索,to explore; to probe,tànsuǒ
接着,to catch and hold on; to continue; to go on to do sth; to follow; to carry on; then; after that; subsequently; to proceed; to ensue; in turn; in one's turn,jiēzhe
指数,"(numerical, statistical) index; (math.) exponent; index; exponential (function, growth)",zhǐshù
奴隶,slave,núlì
独特,unique; distinct; having special characteristics,dútè
而言,with regard to (preceding phrase),éryán
情报,information; intelligence,qíngbào
优惠,privilege; favorable (terms); preferential (treatment); discount (price),yōuhuì
黄金,gold; golden (opportunity); prime (time),huángjīn
话题,subject (of a talk or conversation); topic,huàtí
真相,the truth about sth; the actual facts,zhēnxiàng
登记,to register (one's name),dēngjì
法官,judge (in court),fǎguān
夫人,lady; madam; Mrs.,fūren
能量,energy; capabilities,néngliàng
大师,great master; master,dàshī
选手,athlete; contestant,xuǎnshǒu
剩下,to remain; left over,shèngxià
发明,to invent; an invention,fāmíng
搜索,to search (a place); to search (a database etc),sōusuǒ
装置,to install; installation; equipment; system; unit; device,zhuāngzhì
预期,to expect; to anticipate,yùqī
可见,it can clearly be seen (that this is the case); it is (thus) clear; clear; visible,kějiàn
资讯,information,zīxùn
进攻,to attack; to assault; to go on the offensive; attack; assault; offense (sports),jìngōng
证实,to confirm (sth to be true); to verify,zhèngshí
各自,each; respective; apiece,gèzì
知名,well-known; famous,zhīmíng
透过,to pass through; to penetrate; by means of; via,tòuguò
必然,inevitable; certain; necessity,bìrán
呈现,to appear; to emerge; to present (a certain appearance); to demonstrate,chéngxiàn
电台,transmitter-receiver; broadcasting station; radio station,diàntái
纷纷,one after another; in succession; one by one; continuously; diverse; in profusion; numerous and confused; pell-mell,fēnfēn
运作,to operate; operations; workings; activities (usu. of an organization); thread (computing),yùnzuò
爱国,to love one's country; patriotic,àiguó
手术,(surgical) operation; surgery,shǒushù
灵魂,soul; spirit,línghún
纪录,,jìlù
利润,profits,lìrùn
澳大利亚,Australia,àodàlìyà
观看,to watch; to view,guānkàn
自从,since (a time); ever since,zìcóng
地铁,subway; metro,dìtiě
群体,community; colony,qúntǐ
有限,limited; finite,yǒuxiàn
好处,easy to get along with,hǎochǔ
荷兰,Holland; the Netherlands,hélán
谈话,to talk (with sb); to have a conversation; talk; conversation,tánhuà
股票,share certificate; stock (finance),gǔpiào
想象,to imagine; to fancy,xiǎngxiàng
上升,to rise; to go up; to ascend,shàngshēng
倾向,trend; tendency; orientation,qīngxiàng
印象,impression,yìnxiàng
秘书,secretary,mìshū
将来,in the future; future; the future,jiānglái
不必,need not; does not have to; not necessarily,bùbì
一面,one side; one aspect; simultaneously... (and...); one's whole face,yīmiàn
条约,treaty; pact,tiáoyuē
坚决,firm; resolute; determined,jiānjué
逮捕,to arrest; to apprehend; an arrest,dàibǔ
不如,not equal to; not as good as; inferior to; it would be better to,bùrú
加速,to speed up; to expedite,jiāsù
负责人,person in charge,fùzérén
产量,output,chǎnliàng
保留,to keep; to retain; to have reservations (about sth); to hold back (from saying sth); to put aside for later,bǎoliú
可惜,it is a pity; what a pity; unfortunately,kěxī
罗马,"Rome, capital of Italy",luómǎ
排名,"to rank (1st, 2nd etc); ranking",páimíng
本质,essence; nature; innate character; intrinsic quality,běnzhì
现有,currently existing; currently available,xiànyǒu
智慧,wisdom; knowledge; intelligent; intelligence,zhìhuì
欣赏,to appreciate; to enjoy; to admire,xīnshǎng
仪式,ceremony,yíshì
形势,circumstances; situation; terrain,xíngshì
皮肤,skin,pífū
发达,developed (country etc); flourishing; to develop,fādá
消灭,to put an end to; to annihilate; to cause to perish; to perish; annihilation (in quantum field theory),xiāomiè
观念,notion; thought; concept; sense; views; ideology; general impressions,guānniàn
舞台,stage; arena; fig. in the limelight,wǔtái
熟悉,to be familiar with; to know well,shúxī
领土,territory,lǐngtǔ
兴奋,excited; excitement; (physiology) excitation,xīngfèn
评估,to evaluate; to assess; assessment; evaluation,pínggū
此时,now; this moment,cǐshí
交给,to give; to deliver; to hand over,jiāogěi
厕所,toilet; lavatory,cèsuǒ
著作,to write; literary work; book; article; writings,zhùzuò
象征,emblem; symbol; token; badge; to symbolize; to signify; to stand for,xiàngzhēng
建成,to establish; to build,jiànchéng
彼此,each other; one another,bǐcǐ
重建,to rebuild; to reestablish; reconstruction; rebuilding,chóngjiàn
生长,to grow,shēngzhǎng
等级,grade; rank; status,děngjí
到达,to reach; to arrive,dàodá
日期,date,rìqī
房屋,house; building,fángwū
旁边,lateral; side; to the side; beside,pángbiān
思维,(line of) thought; thinking,sīwéi
腐败,corruption; to corrupt; to rot; rotten,fǔbài
认证,to authenticate; to approve,rènzhèng
视为,to view as; to see as; to consider to be; to deem,shìwéi
等于,to equal; to be tantamount to,děngyú
防止,to prevent; to guard against; to take precautions,fángzhǐ
决策,strategic decision; decision-making; policy decision; to determine policy,juécè
平衡,balance; equilibrium,pínghéng
记载,to write down; to record; written account,jìzǎi
经理,manager; director,jīnglǐ
混乱,confusion; chaos; disorder,hùnluàn
创建,to found; to establish,chuàngjiàn
主人,master; host; owner,zhǔrén
撤销,to repeal; to revoke; (computing) to undo,chèxiāo
学科,subject; branch of learning; course; academic discipline,xuékē
浪费,to waste; to squander,làngfèi
通讯,communications; news story; dispatch,tōngxùn
候选人,candidate,hòuxuǎnrén
失望,disappointed; to lose hope; to despair,shīwàng
祖国,motherland,zǔguó
医学,medicine; medical science; study of medicine,yīxué
模型,model; mold; matrix; pattern,móxíng
得以,able to; so that sb can; enabling; in order to; finally in a position to; with sth in view,déyǐ
早就,already at an earlier time,zǎojiù
教堂,church; chapel,jiàotáng
墨西哥,Mexico,mòxīgē
单独,alone; by oneself; on one's own,dāndú
显得,to seem; to look; to appear,xiǎnde
冲击,to attack; to batter; (of waves) to pound against; shock; impact,chōngjī
骗子,swindler; a cheat,piànzi
寻求,to seek; to look for,xúnqiú
庆祝,to celebrate,qìngzhù
金额,sum of money; monetary value,jīné
常见,commonly seen; common; to see sth frequently,chángjiàn
战士,fighter; soldier; warrior,zhànshì
激烈,(of competition or fighting) intense; fierce; (of pain) acute; (of an expression of opinion) impassioned; vehement; (of a course of action) drastic; extreme,jīliè
歌曲,song,gēqǔ
保存,to conserve; to preserve; to keep; to save (a file etc) (computing),bǎocún
细节,details; particulars,xìjié
一路,the whole journey; all the way; going the same way; going in the same direction; of the same kind,yīlù
大大,greatly; enormously; (dialect) dad; uncle,dàdà
各项,N/A,N/A
素质,inner quality; basic essence,sùzhì
轻松,light; gentle; relaxed; effortless; uncomplicated; to relax; to take things less seriously,qīngsōng
自行,voluntary; autonomous; by oneself; self-,zìxíng
贫困,impoverished; poverty,pínkùn
不论,"whatever; no matter what (who, how etc); regardless of; not to discuss",bùlùn
原始,first; original; primitive; original (document etc),yuánshǐ
途径,way; channel,tújìng
研发,research and development; to develop,yánfā
超越,to surpass; to exceed; to transcend,chāoyuè
强化,to strengthen; to intensify,qiánghuà
退休,to retire; retirement (from work),tuìxiū
赚钱,to earn money; moneymaking,zhuànqián
批判,to criticize; critique,pīpàn
毫无,not in the least; to completely lack,háowú
简介,summary; brief introduction,jiǎnjiè
品质,"character; intrinsic quality (of a person); quality (of a product or service, or as in ""quality of life"", ""air quality"" etc)",pǐnzhì
男女,male-female; male and female,nánnǚ
诗人,bard; poet,shīrén
算是,considered to be; at last,suànshì
经费,funds; expenditure,jīngfèi
准确,accurate; exact; precise,zhǔnquè
再也,(not) any more,zàiyě
宇宙,universe; cosmos,yǔzhòu
餐厅,dining hall; dining room; restaurant,cāntīng
当初,at that time; originally,dāngchū
实验室,laboratory,shíyànshì
礼物,gift; present,lǐwù
获取,to gain; to get; to acquire,huòqǔ
作业,school assignment; homework; work; task; operation; to operate,zuòyè
一带,region; district,yīdài
回忆,to recall; memories,huíyì
相似,to resemble; similar; like; resemblance; similarity,xiāngsì
当天,on that day,dāngtiān
可怜,pitiful; pathetic; to have pity on,kělián
起诉,to sue; to bring a lawsuit against; to prosecute,qǐsù
咖啡,coffee (loanword),kāfēi
北部,northern part,běibù
金属,metal,jīnshǔ
主管,in charge; responsible for; person in charge; manager,zhǔguǎn
拿到,N/A,N/A
强制,to enforce; enforcement; forcibly; compulsory,qiángzhì
整理,"to arrange; to tidy up; to sort out; to straighten out; to list systematically; to collate (data, files); to pack (luggage)",zhěnglǐ
外部,external part; external,wàibù
人为,artificial; man-made; having human cause or origin; human attempt or effort,rénwéi
加油,to add oil; to top up with gas; to refuel; to accelerate; to step on the gas; (fig.) to make an extra effort; to cheer sb on,jiāyóu
合适,suitable; fitting; appropriate,héshì
神秘,mysterious; mystery,shénmì
循环,to cycle; to circulate; circle; loop,xúnhuán
后果,consequences; aftermath,hòuguǒ
早已,long ago; for a long time,zǎoyǐ
年前,before the end of the year; before the new year,niánqián
深刻,profound; deep; deep-going,shēnkè
屁股,buttocks; bottom; butt; back part,pìgu
享有,"to enjoy (rights, privileges etc)",xiǎngyǒu
子女,children; sons and daughters,zǐnǚ
为止,until; (used in combination with words like 到[dao4] or 至[zhi4] in constructs of the form 到...為止|到...为止),wéizhǐ
尽快,as quickly as possible; as soon as possible; with all speed,jǐnkuài
怀孕,pregnant; to have conceived; gestation; pregnancy,huáiyùn
图书馆,library,túshūguǎn
障碍,barrier; obstruction; hindrance; impediment; obstacle,zhàngài
炸弹,bomb,zhàdàn
运营,"to be in operation; to do business; (of train, bus etc) to be in service; operation; service",yùnyíng
典型,model; typical case; archetype; typical; representative,diǎnxíng
自在,free; unrestrained; comfortable; at ease,zìzai
围绕,to revolve around; to center on (an issue),wéirào
继承,to inherit; to succeed to (the throne etc); to carry on (a tradition etc),jìchéng
答应,to answer; to respond; to answer positively; to agree; to accept; to promise,dāying
援助,to help; to support; to aid; aid; assistance,yuánzhù
对抗,to withstand; to resist; to stand off; antagonism; confrontation,duìkàng
舆论,public opinion,yúlùn
药物,medicaments; pharmaceuticals; medication; medicine; drug,yàowù
以色列,Israel,yǐsèliè
遗憾,regret; to regret; to be sorry that,yíhàn
到来,to arrive; arrival; advent,dàolái
情形,circumstances; situation,qíngxing
恐惧,to be frightened; fear; dread,kǒngjù
大道,main street; avenue,dàdào
脱离,to separate oneself from; to break away from; diastasis (medicine); abscission; abjunction (botany),tuōlí
密码,secret code; ciphertext; password; PIN,mìmǎ
职工,workers; staff,zhígōng
待遇,treatment; pay; salary; status; rank,dàiyù
聪明,intelligent; clever; bright; smart; acute (of sight and hearing),cōngming
突出,prominent; outstanding; to give prominence to; to protrude; to project,tūchū
转型,transformation; to transform,zhuǎnxíng
技能,technical ability; skill,jìnéng
干净,clean; neat,gānjìng
打破,to break; to smash,dǎpò
地下,underground; subterranean; covert,dìxià
企图,to attempt; to try; attempt,qǐtú
对付,to handle; to deal with; to cope; to get by with,duìfu
新型,new type; new kind,xīnxíng
号码,number,hàomǎ
大楼,"building (a relatively large, multi-storey one)",dàlóu
愤怒,angry; indignant; wrath; ire,fènnù
居然,unexpectedly; to one's surprise; go so far as to,jūrán
写作,to write; to compose; writing; written works,xiězuò
签订,to agree to and sign (a treaty etc),qiāndìng
房地产,real estate,fángdìchǎn
部署,to dispose; to deploy; deployment,bùshǔ
拯救,to save; to rescue,zhěngjiù
之类,and so on; and such,zhīlèi
华人,ethnic Chinese person or people,huárén
异常,exceptional; abnormal; an anomaly,yìcháng
许可,to allow; to permit,xǔkě
大使,ambassador; envoy,dàshǐ
工会,labor union; trade union,gōnghuì
穆斯林,Muslim,mùsīlín
道歉,to apologize,dàoqiàn
划分,to divide up; to partition; to differentiate,huàfēn
离婚,to divorce; divorced from (one's spouse),líhūn
加工,to process; processing; working (of machinery),jiāgōng
输入,to import; to input,shūrù
监管,to oversee; to take charge of; to supervise; to administer; supervisory; supervision,jiānguǎn
所在,place; location; (after a noun) place where it is located,suǒzài
色彩,tint; coloring; coloration; (fig.) flavor; character,sècǎi
做法,way of handling sth; method for making; work method; recipe; practice,zuòfǎ
合同,(business) contract,hétong
意味着,to signify; to mean; to imply,yìwèizhe
扩展,to extend; to expand; extension; expansion,kuòzhǎn
阳光,sunshine; transparent (open to public scrutiny),yángguāng
微软,Microsoft corporation,wēiruǎn
驾驶,"to pilot (ship, airplane etc); to drive",jiàshǐ
细胞,cell (biology),xìbāo
球队,"sports team (basketball, soccer, football etc)",qiúduì
带领,to guide; to lead,dàilǐng
多种,many kinds of; multiple; diverse; multi-,duōzhǒng
动画,animation; cartoon,dònghuà
和谐,harmonious; harmony; (euphemism) to censor,héxié
文献,document,wénxiàn
质疑,to call into question; to question (truth or validity),zhìyí
进展,to make headway; to make progress,jìnzhǎn
出售,to sell; to offer for sale; to put on the market,chūshòu
伙伴,partner; companion; comrade,huǒbàn
种族,race; ethnicity,zhǒngzú
球员,"sports club member; footballer, golfer etc",qiúyuán
不见,not to see; not to meet; to have disappeared; to be missing,bùjiàn
顾问,adviser; consultant,gùwèn
人体,human body,réntǐ
指标,(production) target; quota; index; indicator; sign; signpost; (computing) pointer,zhǐbiāo
创业,to begin an undertaking; to start a major task; to initiate; to venture; venture; entrepreneurship,chuàngyè
监控,to monitor,jiānkòng
依法,legal (proceedings); according to law,yīfǎ
内地,"mainland China (PRC excluding Hong Kong and Macau, but including islands such as Hainan); Japan (used in Taiwan during Japanese colonization)",nèidì
初期,initial stage; beginning period,chūqī
奥运,abbr. for 奧林匹克運動會|奥林匹克运动会; Olympic Games; the Olympics,àoyùn
主体,main part; bulk; body; subject; agent,zhǔtǐ
性格,nature; disposition; temperament; character,xìnggé
改进,to improve; to make better,gǎijìn
教训,lesson; moral; to chide sb; to lecture sb,jiàoxun
市区,urban district; downtown; city center,shìqū
个性,individuality; personality,gèxìng
局长,bureau chief,júzhǎng
电视剧,TV play; soap opera,diànshìjù
天堂,paradise; heaven,tiāntáng
重复,to repeat; to duplicate,chóngfù
接下来,to accept; to take; next; following,jiēxiàlái
从未,never,cóngwèi
失业,unemployment; to lose one's job,shīyè
博客,blog (loanword); weblog; blogger,bókè
福建,"Fujian province (Fukien) in east China, abbr. 福 or 閩|闽, capital Fuzhou 福州; Fujian province (Fukien) in Taiwan",fújiàn
懂得,to understand; to know; to comprehend,dǒngde
分离,to separate,fēnlí
基督教,Christianity; Christian,jīdūjiào
进程,process; course,jìnchéng
取代,to replace; to supersede; to supplant; (chemistry) substitution,qǔdài
与其,"rather than...; 與其|与其[yu3 qi2] A 不如[bu4 ru2] B (rather than A, better to B)",yǔqí
温度,temperature,wēndù
支援,to provide assistance; to support; to back,zhīyuán
道理,reason; argument; sense; principle; basis; justification,dàoli
改为,to change into,gǎiwéi
效应,effect (scientific phenomenon),xiàoyìng
被迫,to be compelled; to be forced,bèipò
味道,flavor; smell; hint of,wèidao
王国,kingdom; realm,wángguó
被捕,to be arrested; under arrest,bèibǔ
废除,to abolish; to abrogate; to repeal,fèichú
摧毁,to destroy; to wreck,cuīhuǐ
全都,all; without exception,quándōu
地面,floor; ground; surface,dìmiàn
大批,large quantities of,dàpī
奋斗,to strive; to struggle,fèndòu
配置,to deploy; to allocate; configuration; allocation,pèizhì
人群,crowd,rénqún
判决,judgment (by a court of law); to pass judgment on; to sentence,pànjué
合并,to merge; to annex,hébìng
深度,depth; (of a speech etc) profundity; advanced stage of development,shēndù
人性,human nature; humanity; human; the totality of human attributes,rénxìng
边界,boundary; border,biānjiè
名义,name; titular; nominal; in name; ostensible purpose,míngyì
例子,case; (for) instance; example,lìzi
军人,serviceman; soldier; military personnel,jūnrén
邪恶,sinister; vicious; wicked; evil,xiéè
无限,unlimited; unbounded,wúxiàn
互动,to interact; interactive,hùdòng
书籍,books; works,shūjí
内阁,(government) cabinet,nèigé
杭州,Hangzhou subprovincial city and capital of Zhejiang province in southeast China,hángzhōu
发言,to make a speech; statement; utterance,fāyán
人工,artificial; manpower; manual work,réngōng
极端,extreme,jíduān
舞蹈,dance (performance art); dancing,wǔdǎo
